hotspot_id,CHI,CHI_category,hotspot_rank,dominant_junction,dominant_police_station,explainability
HS_8960145b59bffff,100.0,Critical,1,BTP082 - KR Market Junction,City Market,"CHI = 100 | 14.1% Junction, 7.5% Vehicle, 10.2% Violation, 14.1% Density, 50.0% Recurrence, 4.1% Temporal"
HS_8960145b543ffff,99.17757279644862,Critical,2,BTP057 - Anand Rao Junction,Upparpet,"CHI = 99 | 14.2% Junction, 9.2% Vehicle, 10.1% Violation, 14.2% Density, 49.5% Recurrence, 2.8% Temporal"
HS_8960145b427ffff,98.64285093499954,Critical,3,BTP044 - Sagar Theatre Junction,Upparpet,"CHI = 99 | 14.3% Junction, 9.4% Vehicle, 8.7% Violation, 14.3% Density, 49.8% Recurrence, 3.4% Temporal"
HS_8960145b55bffff,97.19966743718106,Critical,4,BTP058 - Subbanna Junction,Upparpet,"CHI = 97 | 14.5% Junction, 9.4% Vehicle, 9.3% Violation, 14.4% Density, 49.2% Recurrence, 3.1% Temporal"
HS_8960145b553ffff,94.6405084418957,Critical,5,BTP040 - Elite Junction,Upparpet,"CHI = 95 | 14.9% Junction, 8.4% Vehicle, 9.3% Violation, 14.9% Density, 50.0% Recurrence, 2.4% Temporal"
HS_8961892e9abffff,94.30590291918972,Critical,6,BTP051 - Safina Plaza Junction,Shivajinagar,"CHI = 94 | 15.0% Junction, 8.3% Vehicle, 10.1% Violation, 15.0% Density, 49.5% Recurrence, 2.2% Temporal"
HS_8960145b5cbffff,93.89670765263112,Critical,7,BTP044 - Sagar Theatre Junction,Upparpet,"CHI = 94 | 15.0% Junction, 8.4% Vehicle, 9.5% Violation, 15.0% Density, 50.0% Recurrence, 2.0% Temporal"
HS_89618925b6fffff,93.472539213662,Critical,8,BTP082 - KR Market Junction,City Market,"CHI = 93 | 15.1% Junction, 8.5% Vehicle, 10.7% Violation, 14.9% Density, 47.8% Recurrence, 3.0% Temporal"
HS_8961892e9bbffff,91.28261452174118,Critical,9,BTP051 - Safina Plaza Junction,Shivajinagar,"CHI = 91 | 15.5% Junction, 8.5% Vehicle, 9.9% Violation, 15.4% Density, 48.3% Recurrence, 2.5% Temporal"
HS_8960145b3a7ffff,91.10756272342599,Critical,10,BTP027 - Modi Bridge Junction,Rajajinagar,"CHI = 91 | 15.5% Junction, 8.9% Vehicle, 10.3% Violation, 15.5% Density, 47.9% Recurrence, 1.8% Temporal"
HS_8961892e937ffff,91.02835467952298,Critical,11,BTP211 - Central Street Junction,Shivajinagar,"CHI = 91 | 15.5% Junction, 8.2% Vehicle, 10.0% Violation, 15.4% Density, 48.1% Recurrence, 2.7% Temporal"
HS_8960145b307ffff,90.73764964806863,Critical,12,"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,"CHI = 91 | 14.1% Junction, 10.2% Vehicle, 10.2% Violation, 15.5% Density, 47.4% Recurrence, 2.6% Temporal"
HS_89618925b2bffff,90.4969503256432,Critical,13,BTP104 - Medical College Circle,City Market,"CHI = 90 | 15.6% Junction, 8.8% Vehicle, 11.6% Violation, 15.4% Density, 45.9% Recurrence, 2.8% Temporal"
HS_89618925b67ffff,90.374644091074,Critical,14,BTP082 - KR Market Junction,City Market,"CHI = 90 | 15.6% Junction, 8.6% Vehicle, 11.5% Violation, 15.3% Density, 46.3% Recurrence, 2.7% Temporal"
HS_8960145b16bffff,90.25447390554747,Critical,15,BTP027 - Modi Bridge Junction,Vijayanagara,"CHI = 90 | 15.7% Junction, 8.9% Vehicle, 11.0% Violation, 15.5% Density, 46.7% Recurrence, 2.3% Temporal"
HS_8960145b58bffff,89.67207523418345,Critical,16,"BTP083 - AS Char Street, Mysore Road",Chamarajpet,"CHI = 90 | 15.8% Junction, 8.5% Vehicle, 11.5% Violation, 15.6% Density, 46.3% Recurrence, 2.4% Temporal"
HS_89618925b63ffff,89.03864668644012,Critical,17,"BTP080 - NR Road, SP Road Junction",Halasuru Gate,"CHI = 89 | 15.9% Junction, 9.3% Vehicle, 11.0% Violation, 15.6% Density, 45.9% Recurrence, 2.3% Temporal"
