hotspot_id,dominant_junction,historical_CHI,pred_24h_violations,pred_24h_CHI
HS_8960145b59bffff,BTP082 - KR Market Junction,100.0,64.56451,97.48816
HS_8960145b543ffff,BTP057 - Anand Rao Junction,99.17757279644862,30.447973,100.0
HS_8960145b427ffff,BTP044 - Sagar Theatre Junction,98.64285093499954,41.059307,99.10623
HS_8960145b55bffff,BTP058 - Subbanna Junction,97.19966743718106,19.540632,100.0
HS_8960145b553ffff,BTP040 - Elite Junction,94.6405084418957,59.386444,89.202484
HS_8961892e9abffff,BTP051 - Safina Plaza Junction,94.30590291918972,38.58408,86.836494
HS_8960145b5cbffff,BTP044 - Sagar Theatre Junction,93.89670765263112,29.13974,86.12685
HS_89618925b6fffff,BTP082 - KR Market Junction,93.472539213662,7.928714,70.58345
HS_8961892e9bbffff,BTP051 - Safina Plaza Junction,91.28261452174118,33.197243,100.0
HS_8960145b3a7ffff,BTP027 - Modi Bridge Junction,91.107562723426,33.65023,83.32182
HS_8961892e937ffff,BTP211 - Central Street Junction,91.02835467952298,10.588328,61.048767
HS_8960145b307ffff,"BTP001 - 10th Cross, Dr. Rajkumar Road",90.73764964806864,21.19165,100.0
HS_89618925b2bffff,BTP104 - Medical College Circle,90.4969503256432,15.238415,100.0
HS_89618925b67ffff,BTP082 - KR Market Junction,90.374644091074,6.2303677,75.64502
HS_8960145b16bffff,BTP027 - Modi Bridge Junction,90.25447390554748,17.68302,90.443855
HS_8960145b58bffff,"BTP083 - AS Char Street, Mysore Road",89.67207523418345,6.5054913,61.100517
HS_89618925b63ffff,"BTP080 - NR Road, SP Road Junction",89.03864668644012,9.886149,80.91219
HS_8960145b54bffff,BTP057 - Anand Rao Junction,88.47843827771187,6.168954,68.98049
HS_89618925b7bffff,"BTP080 - NR Road, SP Road Junction",88.10475063751375,13.548482,77.853195
HS_8960145b3b7ffff,BTP008 - Navarang Theatre,86.55162457903553,12.747833,100.0
HS_8960145a69bffff,BTP108 - Tagore Park Junction,85.98865081117624,7.9137745,95.44348
HS_8961892e9a3ffff,BTP051 - Safina Plaza Junction,85.82497394610004,10.637422,77.182396
HS_8961892e933ffff,BTP211 - Central Street Junction,85.06927221120569,5.488319,59.132874
HS_8960145a6d7ffff,BTP108 - Tagore Park Junction,84.39024709808734,6.9021683,96.14869
HS_8960145a2b7ffff,"BTP095 - Satellite Bus Stand, Mysore Road",84.34788548358726,7.678058,84.978035
HS_8960145b323ffff,BTP023 - Mahalaxmi Layout Entrance,84.0973670949712,7.812408,100.0
HS_8961892e917ffff,No Junction,83.35189470114784,36.442863,100.0
HS_89618925b03ffff,BTP192 - Urvashi Theater,83.24445248059362,6.5288525,100.0
HS_8960145b5c7ffff,BTP043 - Upparpet Junction,83.23932326271716,13.7907295,77.32248
HS_8960145b437ffff,BTP038 - Mysore Bank Junction,82.81080764200436,4.381386,59.10282
HS_8960145b147ffff,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",82.2655423110659,13.406604,100.0
HS_8960145b52bffff,BTP074 - Leprosy Hospital Junction,81.12759584579688,3.8564281,62.701653
HS_8960145b49bffff,BTP063 - Siddalingaiah Circle,80.96553064870633,4.9630227,75.66624
HS_8960145a26bffff,BTP020 - Hosahalli Metro Station,80.88501162393172,11.990723,62.36446
HS_8961892e2bbffff,No Junction,80.85439315835023,25.033081,100.0
HS_8961892e9afffff,BTP211 - Central Street Junction,80.65885236284383,3.8031905,59.325584
HS_8960145b547ffff,BTP048 - Shanthala Junction,80.46521625194275,6.094435,70.04982
HS_8960145b423ffff,BTP058 - Subbanna Junction,80.01377543874962,5.3387156,64.2251
HS_89618925b2fffff,BTP104 - Medical College Circle,79.78332842097198,4.4266634,66.567894
HS_8960145b4cbffff,BTP042 - Minsk Square Junction (CTO),79.47051737598946,6.010619,56.8163
HS_8960145b32bffff,BTP023 - Mahalaxmi Layout Entrance,79.27665471277248,6.992434,100.0
HS_8960145b5dbffff,BTP038 - Mysore Bank Junction,79.18562697191821,5.006003,57.349625
HS_8960145b18bffff,BTP010 - Rajajinagar Entrance,79.18454889890519,3.4036906,63.77475
HS_8960169052fffff,No Junction,78.90174916722121,6.8428516,65.32254
HS_8960145b11bffff,"BTP210 - 50th cross, 12th Main , Rajajinagar",78.5235211880294,4.9670177,100.0
HS_8960145849bffff,BTP028 - Vijayanagar Bus Stand Junction,78.4508811068858,3.5008779,58.101257
HS_8960145a24fffff,"BTP070 - Cholurpalya Junction, Magadi Road",78.3327378537606,19.178629,93.203445
HS_8960145b42fffff,BTP058 - Subbanna Junction,78.2007073834438,3.1123931,65.99803
HS_8960145a06bffff,BTP096 - Gali Anjaneya Temple,78.09249535215461,3.4250853,58.02156
HS_8960145b5c3ffff,BTP043 - Upparpet Junction,77.73996201216913,3.3908033,60.163094
HS_8960145b10fffff,BTP018 - Dhobi Ghat Junction,77.54932562385775,3.3280878,60.156036
HS_89601690193ffff,No Junction,77.30909427307644,10.281188,59.133537
HS_8960145b4dbffff,BTP211 - Central Street Junction,77.30881033068947,2.815453,58.78743
HS_8960145b5d7ffff,BTP082 - KR Market Junction,77.1920538579361,4.422694,64.720314
HS_8960145b3afffff,"BTP026 - 1st Block Junction, Rajajinagar",77.11436566421949,3.9539683,67.395134
HS_8961892e923ffff,BTP211 - Central Street Junction,77.09521332119722,2.847706,54.86116
HS_89601458493ffff,"BTP022 - Marenahalli Junction, Vijayanagar",77.06682385229959,3.9664712,68.46256
HS_89618925c6bffff,BTP135 - UCO Bank Junction,76.91542111558299,4.86329,77.07081
HS_8960145b113ffff,BTP061 - Bhashyam Circle,76.5636851482211,3.1528702,82.00849
HS_8961892598fffff,BTP220 - Puttanna Junction,76.22920095775092,2.0113842,46.37522
HS_89618925983ffff,"BTP226 - 33rd Cross, 11th Main, Jayanagar",75.47820798571395,2.3673942,59.426537
HS_8960145b18fffff,"BTP062 - Basava Mantapa, Dr. Rajkumar Road",75.24785991656098,2.777259,83.43292
HS_8960145b5cfffff,BTP043 - Upparpet Junction,75.02943917391266,2.5623326,56.618317
HS_8960145b583ffff,"BTP083 - AS Char Street, Mysore Road",75.00668034394752,2.974275,67.765755
HS_89618924a73ffff,"BTP115 - Sahasra Hospital, Jayanagar",74.74103865020231,2.0948384,67.27557
HS_89618925893ffff,BTP140 - Madiwala Check Post,74.62077120349967,2.0625854,62.220795
HS_8960145b103ffff,BTP061 - Bhashyam Circle,74.38823838661077,3.1979692,66.0079
HS_89601458497ffff,"BTP022 - Marenahalli Junction, Vijayanagar",74.28000829991095,2.5240188,40.745655
HS_89618925817ffff,BTP126 - Dairy Circle,74.04586578174171,2.0330262,69.64991
HS_8960145b6a7ffff,BTP032 - Windsor Circle,73.67878573543459,2.5111315,21.24461
HS_8961892e3b7ffff,No Junction,73.47407139526213,4.118881,55.10884
HS_8960145b097ffff,BTP054 - Shivananda Circle,73.23849318892462,2.429947,58.88972
HS_8960145a223ffff,"BTP016 - 5th Main Road, RPC Layout",73.23071786368664,7.16849,57.4411
HS_8960145b377ffff,No Junction,72.86459052287539,14.203551,72.02084
HS_8960145b50bffff,BTP048 - Shanthala Junction,72.5934633622592,2.429947,68.9643
HS_896014586c7ffff,"BTP206 - Shankara Mutt Circle, Vijayanagar",72.27256824468733,2.0625854,64.07404
HS_8960145845bffff,BTP208 - Havanur Circle,71.97936122667193,2.1910515,74.14879
HS_8960145b1b7ffff,BTP069 - MC Circle,71.97720348157839,5.864212,63.969315
HS_8961892e16bffff,No Junction,71.77343158501961,8.821851,55.089394
HS_8960145a22fffff,"BTP016 - 5th Main Road, RPC Layout",71.5066015005773,4.555389,62.67162
HS_8960145b2a7ffff,No Junction,71.28228173601606,16.716175,65.8145
HS_89618925913ffff,BTP219 - Canara Bank Junction,71.12879774341125,3.7345028,82.510445
HS_89618925b0bffff,BTP192 - Urvashi Theater,70.98637484123634,1.9782112,65.10776
HS_8960145b073ffff,No Junction,70.4144346256991,13.922723,66.16841
HS_8960145b173ffff,"BTP170 - Dr. Bheem Rao Palace, Chord Road",70.40845894852906,1.988033,67.26844
HS_8960145a24bffff,BTP071 - Prasanna Junction,70.34905819279128,2.0932608,63.266327
HS_8960145b5d3ffff,BTP038 - Mysore Bank Junction,70.02850567333232,2.5831203,56.85799
HS_896014586d3ffff,BTP205 - Modi Hospital Junction,69.80541594631782,2.1500978,66.69317
HS_8960145b10bffff,"BTP204 - ESI Hospital, Rajajinagar",69.5248427879759,5.242949,100.0
HS_8960145b0cbffff,BTP032 - Windsor Circle,69.30951638367459,2.4563165,36.206768
HS_89618920babffff,No Junction,69.29387236044865,6.7441454,65.748726
HS_8960145b1abffff,"BTP024 - NPS, Vijayanagar",69.2369090732867,2.854697,65.61128
HS_8960145b4b3ffff,BTP076 - Hudson Circle,68.73862055559916,2.3751318,60.04468
HS_8960145844bffff,BTP208 - Havanur Circle,68.68204455015656,2.0077703,77.31493
HS_896014584dbffff,BTP067 - Jai Muni Rao Circle,68.62231708379001,2.1262417,72.49448
HS_8960145b30fffff,No Junction,68.45967134663361,25.861006,100.0
HS_8961892598bffff,BTP225 - Geetha Junction,68.13583109053597,1.9235661,46.918343
HS_896014586d7ffff,BTP205 - Modi Hospital Junction,67.99972795118636,1.8723645,47.96934
HS_8961892e387ffff,No Junction,67.91454136071512,12.379594,73.55443
HS_8960145b557ffff,BTP045 - Danvanthri Road Junction,67.90953505199369,1.8822526,43.231464
HS_89618925957ffff,No Junction,67.50255784176431,9.241067,55.457016
HS_8960145b373ffff,No Junction,67.33402542867417,9.310897,70.53883
HS_8960145b14fffff,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",67.21498083293777,2.3849998,34.86182
HS_8960145b09bffff,BTP054 - Shivananda Circle,67.08730920435386,2.3239088,49.241947
HS_89618920b0fffff,No Junction,66.98317258773947,14.11378,95.46475
HS_89618924053ffff,No Junction,66.89475370565847,12.512302,82.5069
HS_8960145b433ffff,BTP037 - KR Circle,66.8301117912624,1.8825496,14.431663
HS_89618926387ffff,No Junction,66.43917214101613,7.458478,60.430183
HS_89618925c8fffff,BTP137 - Madiwala Traffic PS Junction,66.39428050446145,1.831348,32.737385
HS_8960145b1a7ffff,BTP068 - Veeresh Theatre Junction,66.22084010128276,3.6414888,100.0
HS_896189242afffff,No Junction,65.92971134525128,4.850725,41.393063
HS_89618925373ffff,"BTP148 - 17th Main, Doopanahalli Bus Stop",65.74359254088549,1.8825496,12.307227
HS_8960145b1d7ffff,BTP010 - Rajajinagar Entrance,65.65526776103142,3.0459795,15.461392
HS_8961892e927ffff,BTP211 - Central Street Junction,65.65487824560189,2.4899952,34.58657
HS_89618925bc7ffff,BTP103 - Shanti Nagar TTMC,65.31976517903975,1.8825496,47.58275
HS_8960145b193ffff,No Junction,65.19909811326198,4.0024242,29.350582
HS_8961892588bffff,BTP136 - Hosur-Tavarkere Road Junction,64.94429064023292,1.831348,34.86182
HS_89618920973ffff,No Junction,64.89238215158994,4.6338034,59.121292
HS_8960145a68bffff,BTP108 - Tagore Park Junction,64.74105981347599,4.1110125,41.08488
HS_89601690c2bffff,No Junction,64.67918871617154,4.233095,36.470924
HS_89618920963ffff,No Junction,64.55703126049322,4.233095,36.470924
HS_89618925c6fffff,BTP135 - UCO Bank Junction,64.5001146543397,2.7718663,36.94325
HS_8960145b3abffff,"BTP001 - 10th Cross, Dr. Rajkumar Road",64.46379822647174,1.8825496,14.431663
HS_8960145b08fffff,No Junction,64.4223248939233,5.9014745,39.651783
HS_8960145b44fffff,BTP034 - LRDE Junction,64.264968856148,2.4923286,12.512234
HS_8960145b54fffff,BTP057 - Anand Rao Junction,64.21687798005958,1.9908364,51.283882
HS_896016964b7ffff,No Junction,64.03074463628695,16.83897,87.12938
HS_8961892c9d7ffff,No Junction,63.91863742765192,8.227422,61.305748
HS_8961892e98fffff,No Junction,63.91196097029789,6.5191045,28.38197
HS_8961892c98bffff,No Junction,63.62741030469056,4.850725,34.038456
HS_89618925453ffff,No Junction,63.54832113398723,9.584088,100.0
HS_8960145b17bffff,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",63.26791324423038,4.5595536,15.560018
HS_8960145b593ffff,BTP082 - KR Market Junction,62.97189183153596,5.1328726,60.68787
HS_8961892cb7bffff,No Junction,62.92732132596377,10.456538,100.0
HS_89618925363ffff,"BTP148 - 17th Main, Doopanahalli Bus Stop",62.89075141654943,3.949775,21.243202
HS_8961892e28fffff,No Junction,62.804960053157046,4.5688534,22.746452
HS_8960169019bffff,No Junction,62.74669975410965,4.284296,34.42899
HS_8960145b077ffff,No Junction,62.46460196700656,10.365914,70.53883
HS_8961892536bffff,"BTP148 - 17th Main, Doopanahalli Bus Stop",62.4256698956987,1.831348,32.737385
HS_896189259bbffff,"BTP189 - New Diagonal Road, Jayanagar",62.203225984221966,3.9764383,100.0
HS_8961892582bffff,"BTP123 - 10th Cross, Wilson Garden",62.16493428575649,4.8016415,56.669155
HS_89618926397ffff,No Junction,62.02573086155443,12.279638,88.286995
HS_89618925977ffff,BTP216 - Yediyur Junction,61.96195825953963,5.357268,44.672306
HS_89601459563ffff,No Junction,61.96161496000341,5.7891626,43.590027
HS_89618925b0fffff,BTP167 - JC Road Junction,61.83007767566554,3.2819958,53.5192
HS_89618924a07ffff,"BTP117 - 9th Cross, Kanakapura Road",61.81604907684096,1.831348,32.737385
HS_89618924a47ffff,"BTP176 - Rajalakshmi Kalyana Mantapa, JP Nagar",61.4876248868771,1.831348,34.86182
HS_8960145b063ffff,No Junction,61.44660577716018,7.274574,86.99461
HS_8961892e55bffff,No Junction,61.17540603335614,4.3519316,55.183052
HS_89618924a5bffff,"BTP191 - 40th Cross, 4th Main, Jayanagar",61.014900603057306,1.831348,34.86182
HS_89618920923ffff,No Junction,60.89991057995181,9.227817,100.0
HS_8961892e383ffff,No Junction,60.64862240697752,4.6092334,100.0
HS_8960145b697ffff,No Junction,60.61943701310737,6.3378468,86.99461
HS_89618925403ffff,No Junction,60.450514543473,9.270913,100.0
HS_89618925b23ffff,BTP118 - Basappa Circle,60.34796447437946,4.0534167,13.846085
HS_8960145b107ffff,"BTP024 - NPS, Vijayanagar",60.21960925526463,4.012572,92.91348
HS_89618924ac3ffff,"BTP197 - 9th Cross, 24th Main, JP Nagar",60.10966178392124,1.831348,32.737385
HS_8960145b16fffff,BTP205 - Modi Hospital Junction,60.07957940077577,1.8723645,40.22763
HS_8960145b157ffff,"BTP204 - ESI Hospital, Rajajinagar",60.00025342688278,16.153872,97.6964
HS_8961892e9b7ffff,No Junction,59.84235980961945,6.4067926,26.783318
HS_896189259c7ffff,BTP219 - Canara Bank Junction,59.81502098239305,1.8723645,34.45083
HS_896014594d3ffff,No Junction,59.79664283568471,4.960799,59.121292
HS_8960145a27bffff,BTP020 - Hosahalli Metro Station,59.590704466933275,2.3849998,23.644955
HS_89618925b3bffff,BTP167 - JC Road Junction,59.58136187868365,4.053366,58.732483
HS_8961892541bffff,No Junction,59.55710805769846,8.57483,90.93285
HS_89618925c03ffff,BTP137 - Madiwala Traffic PS Junction,59.55121967739577,1.831348,32.737385
HS_8961892eca7ffff,No Junction,59.5333016621106,4.850725,34.038456
HS_8961892cb0bffff,No Junction,59.353900973900274,4.233095,36.470924
HS_89601458293ffff,No Junction,59.321146966974304,5.963478,22.746452
HS_896189255cbffff,No Junction,59.197442882773,4.233095,36.470924
HS_8960145b483ffff,BTP063 - Siddalingaiah Circle,59.183117385814285,2.3239088,37.121883
HS_8961892e997ffff,No Junction,59.161503475795094,6.996509,60.46643
HS_8960145b337ffff,BTP023 - Mahalaxmi Layout Entrance,59.15506602592316,12.488072,89.09532
HS_8960145b41bffff,BTP047 - Vidhan Soudha Metro Station,59.14258725841339,6.774078,50.517467
HS_89601459573ffff,No Junction,59.12040350464272,8.937015,63.207535
HS_8961892cb4fffff,No Junction,59.11805954466162,13.342167,89.3999
HS_8961892530bffff,No Junction,59.10212314099197,4.850725,32.324524
HS_8960145b00fffff,No Junction,59.101722724854554,9.496055,100.0
HS_8961892092bffff,No Junction,59.09115178754841,4.891105,68.576355
HS_8960145b403ffff,BTP041 - Gopal Gowda Circle,59.01613939287842,1.831348,34.86182
HS_89618925d97ffff,BTP130 - GD Mara Junction,58.965486657143664,4.053366,34.165836
HS_89618925b6bffff,"BTP080 - NR Road, SP Road Junction",58.93394022921476,2.2074738,38.93195
HS_89618925a23ffff,BTP172 - Nanjappa Circle,58.85427926455446,4.053366,32.041405
HS_8961892eba3ffff,No Junction,58.8237693756515,6.7536182,90.93285
HS_8960145b303ffff,No Junction,58.819765194197615,4.963037,22.746452
