hotspot_id,h3_cell,center_lat,center_lon,violation_count,hotspot_score,hotspot_category,dominant_junction,dominant_vehicle_type,dominant_violation_type,dominant_police_station,cluster_id
HS_8960145b553ffff,8960145b553ffff,12.976409087424589,77.5759204607417,12123,1.0,Critical,BTP040 - Elite Junction,TWO_WHEELER,NO PARKING,Upparpet,22
HS_8960145b59bffff,8960145b59bffff,12.964651164404392,77.57632508363632,8585,0.7081580466881136,Critical,BTP082 - KR Market Junction,TWO_WHEELER,WRONG PARKING,City Market,22
HS_8960145b427ffff,8960145b427ffff,12.977467830626429,77.57894671319185,7369,0.6078528417058484,Critical,BTP044 - Sagar Theatre Junction,CAR_JEEP,NO PARKING,Upparpet,22
HS_89618920923ffff,89618920923ffff,12.933223647523134,77.69077993064658,6749,0.5567103852181803,Critical,No Junction,TWO_WHEELER,NO PARKING,HAL Old Airport,5
HS_8961892e9abffff,8961892e9abffff,12.981645967305289,77.60790407487231,6667,0.549946382908521,Critical,BTP051 - Safina Plaza Junction,TWO_WHEELER,WRONG PARKING,Shivajinagar,26
HS_8960145b5cbffff,8960145b5cbffff,12.974263654955623,77.57829127810561,5992,0.4942670956033985,Critical,BTP044 - Sagar Theatre Junction,TWO_WHEELER,NO PARKING,Upparpet,22
HS_8961892e917ffff,8961892e917ffff,12.982704611494386,77.61093157697483,4874,0.4020456982595067,Critical,No Junction,TWO_WHEELER,WRONG PARKING,Shivajinagar,26
HS_8960145b3a7ffff,8960145b3a7ffff,13.000003175983792,77.54984346680071,4293,0.35412026726057905,Critical,BTP027 - Modi Bridge Junction,TWO_WHEELER,WRONG PARKING,Rajajinagar,23
HS_8961892e9bbffff,8961892e9bbffff,12.979499946671595,77.61027556237418,4257,0.35115070527097253,Critical,BTP051 - Safina Plaza Junction,AUTO_RICKSHAW,WRONG PARKING,Shivajinagar,26
HS_8960145a26bffff,8960145a26bffff,12.97437379053479,77.54460425854465,3653,0.30132805411201846,Critical,BTP020 - Hosahalli Metro Station,TWO_WHEELER,WRONG PARKING,Vijayanagara,24
HS_8961892e2bbffff,8961892e2bbffff,13.00914035849317,77.69509425538708,3332,0.27484945970469354,Critical,No Junction,TWO_WHEELER,WRONG PARKING,K.R. Pura,9
HS_8961892e937ffff,8961892e937ffff,12.982733210890897,77.60250530686746,3079,0.2539800379444032,Critical,BTP211 - Central Street Junction,AUTO_RICKSHAW,WRONG PARKING,Shivajinagar,26
HS_8960145b543ffff,8960145b543ffff,12.978554434046352,77.57354967361115,2914,0.24036954549203993,Critical,BTP057 - Anand Rao Junction,CAR_JEEP,WRONG PARKING,Upparpet,22
HS_896016964b7ffff,896016964b7ffff,13.07255955260552,77.58716314506412,2804,0.23129588385713107,Critical,No Junction,TWO_WHEELER,WRONG PARKING,Kodigehalli,11
HS_89618925b7bffff,89618925b7bffff,12.964622554379815,77.58474838218396,2653,0.21884022106739257,Critical,"BTP080 - NR Road, SP Road Junction",TWO_WHEELER,WRONG PARKING,Halasuru Gate,22
HS_8960145b30fffff,8960145b30fffff,13.01067368314317,77.55483414866346,2592,0.21380846325167038,Critical,No Junction,TWO_WHEELER,WRONG PARKING,Malleshwaram,23
HS_89601690193ffff,89601690193ffff,13.185608135049264,77.68064176165208,2548,0.21017899859770683,Critical,No Junction,CAR_JEEP,NO PARKING,Chikkajala,0
HS_8960145b307ffff,8960145b307ffff,13.007469925642377,77.55417907160238,2524,0.20819929060463582,Critical,"BTP001 - 10th Cross, Dr. Rajkumar Road",CAR_JEEP,WRONG PARKING,Malleshwaram,23
HS_8960145a24fffff,8960145a24fffff,12.973287826618714,77.54999956782973,2514,0.20737441227418957,Critical,"BTP070 - Cholurpalya Junction, Magadi Road",TWO_WHEELER,NO PARKING,Magadi Road,24
HS_8960145b2a7ffff,8960145b2a7ffff,13.007417927733568,77.57102461180281,2498,0.20605460694547553,Critical,No Junction,CAR_JEEP,WRONG PARKING,Malleshwaram,22
HS_8960145b5c7ffff,8960145b5c7ffff,12.970000833394064,77.57460972111427,2394,0.19747587230883445,Critical,BTP043 - Upparpet Junction,TWO_WHEELER,WRONG PARKING,City Market,22
HS_8960145b55bffff,8960145b55bffff,12.979613223528302,77.57657585825223,2213,0.18254557452775716,Critical,BTP058 - Subbanna Junction,CAR_JEEP,WRONG PARKING,Upparpet,22
HS_8960145b377ffff,8960145b377ffff,13.012818011780558,77.55246351391641,2163,0.17842118287552586,Critical,No Junction,CAR_JEEP,WRONG PARKING,Malleshwaram,23
HS_8960145b4cbffff,8960145b4cbffff,12.98167451890872,77.59947811999245,2009,0.16571805658665348,Critical,BTP042 - Minsk Square Junction (CTO),TWO_WHEELER,WRONG PARKING,Shivajinagar,26
HS_8960145b16bffff,8960145b16bffff,12.996799481813879,77.54918850116988,1891,0.15598449228738762,Critical,BTP027 - Modi Bridge Junction,TWO_WHEELER,WRONG PARKING,Vijayanagara,23
HS_8961892e387ffff,8961892e387ffff,12.999583246892687,77.67625343565611,1837,0.1515301493029778,Critical,No Junction,AUTO_RICKSHAW,NO PARKING,Banaswadi,8
HS_8961892c9d7ffff,8961892c9d7ffff,13.035144005155646,77.5907477030071,1754,0.14468365916027387,Critical,No Junction,TWO_WHEELER,NO PARKING,Hebbala,10
HS_8960145b6a7ffff,8960145b6a7ffff,12.992402442496061,77.587621962968,1637,0.13503258269405263,Critical,BTP032 - Windsor Circle,TWO_WHEELER,WRONG PARKING,High ground,25
HS_8960145a223ffff,8960145a223ffff,12.9637041207288,77.53961509431802,1590,0.1311556545409552,Critical,"BTP016 - 5th Main Road, RPC Layout",TWO_WHEELER,WRONG PARKING,Vijayanagara,21
HS_8961892e9a3ffff,8961892e9a3ffff,12.97844134799895,77.60724811631391,1577,0.13008331271137508,Critical,BTP051 - Safina Plaza Junction,TWO_WHEELER,NO PARKING,Shivajinagar,26
HS_89618920963ffff,89618920963ffff,12.94069311529191,77.69512487563676,1509,0.12447414006434052,Critical,No Junction,CAR_JEEP,PARKING IN A MAIN ROAD,HAL Old Airport,5
HS_8960145b58bffff,8960145b58bffff,12.966796715509812,77.57395437899618,1451,0.11968984574775221,Critical,"BTP083 - AS Char Street, Mysore Road",AUTO_RICKSHAW,WRONG PARKING,Chamarajpet,22
HS_8960145b3b7ffff,8960145b3b7ffff,12.997858688504897,77.55221395118276,1429,0.11787511342077044,Critical,BTP008 - Navarang Theatre,TWO_WHEELER,WRONG PARKING,Malleshwaram,23
