priority_rank,hotspot,junction,police_station,recommended_time,forecasted_CHI,ops_score,assigned_officer
1,HS_8960145b59bffff,BTP082 - KR Market Junction,City Market,21:00-07:00,97.48816,1.0630450799999998,OFFICER_01
2,HS_8960145b553ffff,BTP040 - Elite Junction,Upparpet,21:00-07:00,89.202484,0.8663429469449554,OFFICER_02
3,HS_8960145b427ffff,BTP044 - Sagar Theatre Junction,Upparpet,21:00-07:00,99.10623,0.824204553643335,OFFICER_03
4,HS_8961892ed1bffff,No Junction,Halasur,21:00-07:00,100.0,0.8205446470053772,OFFICER_04
5,HS_8961892e9bbffff,BTP051 - Safina Plaza Junction,Shivajinagar,21:00-07:00,100.0,0.7978671935855639,OFFICER_05
6,HS_8960145a423ffff,BTP155 - Katriguppe Junction,Banashankari,21:00-07:00,100.0,0.7854946834161984,OFFICER_06
7,HS_8960145b543ffff,BTP057 - Anand Rao Junction,Upparpet,21:00-07:00,100.0,0.7708808355522618,OFFICER_07
8,HS_8961892ebc7ffff,No Junction,Pulikeshinagar(F.Town),21:00-07:00,100.0,0.7613217571077362,OFFICER_08
9,HS_8960145b157ffff,"BTP204 - ESI Hospital, Rajajinagar",Rajajinagar,21:00-07:00,97.6964,0.7602301935293715,OFFICER_09
10,HS_89618925947ffff,"BTP186 - 9th Cross, 4th Main, Jayanagar",Wilson Garden,21:00-07:00,92.882286,0.7601520550610709,OFFICER_10
11,HS_8961892e9abffff,BTP051 - Safina Plaza Junction,Shivajinagar,21:00-07:00,86.836494,0.7361567974629969,OFFICER_11
12,HS_8961892c3c7ffff,No Junction,Hennuru,21:00-07:00,96.96003,0.7357723453145103,OFFICER_12
13,HS_89618925133ffff,No Junction,Adugodi,21:00-07:00,100.0,0.7353718923022184,OFFICER_13
14,HS_8960145b307ffff,"BTP001 - 10th Cross, Dr. Rajkumar Road",Malleshwaram,21:00-07:00,100.0,0.731805669575546,OFFICER_14
15,HS_8960145b55bffff,BTP058 - Subbanna Junction,Upparpet,21:00-07:00,100.0,0.712806083590393,OFFICER_15
16,HS_8960145b147ffff,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",Rajajinagar,21:00-07:00,100.0,0.7035689280318006,OFFICER_16
17,HS_896189259bbffff,"BTP189 - New Diagonal Road, Jayanagar",Jayanagara,21:00-07:00,100.0,0.7033946342239952,OFFICER_17
18,HS_896189219cfffff,No Junction,Mahadevapura,21:00-07:00,100.0,0.7022240317009402,OFFICER_18
19,HS_8961892cb43ffff,No Junction,Kodigehalli,21:00-07:00,94.16245,0.7021326671655213,OFFICER_19
20,HS_89618925b2bffff,BTP104 - Medical College Circle,City Market,21:00-07:00,100.0,0.6990033330719664,OFFICER_20
