spatiotemporal_hotspot_id,temporal_block,violation_count,dominant_junction,dominant_vehicle_type,dominant_violation_type,dominant_police_station
8960145b553ffff_Night_21-07,Night (21-07),10332,BTP040 - Elite Junction,TWO_WHEELER,NO PARKING,Upparpet
89618920923ffff_Night_21-07,Night (21-07),6497,No Junction,TWO_WHEELER,NO PARKING,HAL Old Airport
8961892e9abffff_Night_21-07,Night (21-07),5866,BTP051 - Safina Plaza Junction,TWO_WHEELER,WRONG PARKING,Shivajinagar
8960145b5cbffff_Night_21-07,Night (21-07),5507,BTP044 - Sagar Theatre Junction,TWO_WHEELER,NO PARKING,Upparpet
8960145b427ffff_Night_21-07,Night (21-07),4862,BTP044 - Sagar Theatre Junction,CAR_JEEP,NO PARKING,Upparpet
8960145b59bffff_Night_21-07,Night (21-07),4543,BTP082 - KR Market Junction,TWO_WHEELER,WRONG PARKING,City Market
8960145b3a7ffff_Night_21-07,Night (21-07),4105,BTP027 - Modi Bridge Junction,TWO_WHEELER,WRONG PARKING,Rajajinagar
8961892e917ffff_Night_21-07,Night (21-07),3856,No Junction,TWO_WHEELER,WRONG PARKING,Shivajinagar
8960145b59bffff_Evening_Rush_16-21,Evening Rush (16-21),3802,BTP082 - KR Market Junction,TWO_WHEELER,WRONG PARKING,City Market
8961892e9bbffff_Night_21-07,Night (21-07),3621,BTP051 - Safina Plaza Junction,AUTO_RICKSHAW,WRONG PARKING,Shivajinagar
8960145a26bffff_Night_21-07,Night (21-07),3475,BTP020 - Hosahalli Metro Station,TWO_WHEELER,WRONG PARKING,Vijayanagara
89618925b7bffff_Night_21-07,Night (21-07),2523,"BTP080 - NR Road, SP Road Junction",TWO_WHEELER,WRONG PARKING,Halasuru Gate
8961892e937ffff_Night_21-07,Night (21-07),2435,BTP211 - Central Street Junction,AUTO_RICKSHAW,WRONG PARKING,Shivajinagar
8960145b2a7ffff_Night_21-07,Night (21-07),2381,No Junction,CAR_JEEP,WRONG PARKING,Malleshwaram
8960145b30fffff_Night_21-07,Night (21-07),2375,No Junction,TWO_WHEELER,WRONG PARKING,Malleshwaram
896016964b7ffff_Night_21-07,Night (21-07),2375,No Junction,TWO_WHEELER,WRONG PARKING,Kodigehalli
8960145b427ffff_Evening_Rush_16-21,Evening Rush (16-21),2240,BTP058 - Subbanna Junction,CAR_JEEP,NO PARKING,Upparpet
8960145b543ffff_Night_21-07,Night (21-07),2196,BTP057 - Anand Rao Junction,CAR_JEEP,WRONG PARKING,Upparpet
8960145a24fffff_Night_21-07,Night (21-07),2137,"BTP070 - Cholurpalya Junction, Magadi Road",TWO_WHEELER,NO PARKING,Magadi Road
8960145b307ffff_Night_21-07,Night (21-07),2064,"BTP001 - 10th Cross, Dr. Rajkumar Road",CAR_JEEP,WRONG PARKING,Malleshwaram
8960145b5c7ffff_Night_21-07,Night (21-07),2020,BTP043 - Upparpet Junction,TWO_WHEELER,WRONG PARKING,City Market
8960145b4cbffff_Night_21-07,Night (21-07),1956,BTP042 - Minsk Square Junction (CTO),TWO_WHEELER,WRONG PARKING,Shivajinagar
8960145b377ffff_Night_21-07,Night (21-07),1932,No Junction,CAR_JEEP,WRONG PARKING,Malleshwaram
8961892e2bbffff_Evening_Rush_16-21,Evening Rush (16-21),1887,No Junction,TWO_WHEELER,WRONG PARKING,K.R. Pura
89601690193ffff_Night_21-07,Night (21-07),1744,No Junction,CAR_JEEP,NO PARKING,Chikkajala
8960145b16bffff_Night_21-07,Night (21-07),1678,BTP027 - Modi Bridge Junction,TWO_WHEELER,WRONG PARKING,Vijayanagara
8960145b55bffff_Night_21-07,Night (21-07),1567,BTP058 - Subbanna Junction,CAR_JEEP,WRONG PARKING,Upparpet
8961892c9d7ffff_Night_21-07,Night (21-07),1517,No Junction,TWO_WHEELER,NO PARKING,Hebbala
8961892e9a3ffff_Night_21-07,Night (21-07),1479,BTP051 - Safina Plaza Junction,TWO_WHEELER,NO PARKING,Shivajinagar
